index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
1,10.00413394,4.77765,156.41,0,50,0,0,0,0,0,0,0,0,,144844,145086,0,0,0,0,
2,9.962794543,5.01439,156.41,0,50,0,0,0,0,0,0,0,0,,145212,145453,0,0,0,0,
3,9.962794543,4.81445,156.41,0,50,0,0,0,0,0,0,4.45,4.29359,,145577,145818,4.45,0.141421356,4.732842712,4.167157288,
4,9.921455147,4.86074,156.41,0,50,0,0,0,0,0,0,4.4,4.24359,,145943,146183,4.45,0.169030851,4.788061702,4.111938298,
5,10.00413394,4.79325,156.41,0,50,0,0,0,0,0,0,4.514285714,4.357875714,,146305,146547,4.475,0.128173989,4.731347978,4.218652022,
6,9.838776354,4.80127,156.41,0,50,0,0,0,0,0,0,4.35,4.19359,,146676,146914,4.35,0.18516402,4.72032804,3.97967196,
7,0.124018189,5.01225,156.41,0,50,0,0,0,0,0,0,0,0,,147039,147042,0,0,0,0,
8,10.00413394,4.85639,156.41,0,50,0,0,0,0,0,0,4.4125,4.25609,,147161,147403,4.4125,0.17268882,4.75787764,4.06712236,
9,10.00413394,4.83662,156.41,0,50,0,0,0,0,0,0,4.4625,4.30609,,147527,147769,4.4625,0.159798981,4.782097962,4.142902038,
10,9.921455147,4.8903,156.41,0,50,0,0,0,0,0,0,4.4625,4.30609,,147894,148134,4.4625,0.184681192,4.831862385,4.093137615,
11,10.00413394,4.79937,165.59,0,50,0,0,0,0,0,0,4.46875,4.30316,,148259,148501,4.46875,0.237453003,4.943656006,3.993843994,
12,10.00413394,4.93649,165.59,0,50,0,0,0,0,0,0,4.525,4.35941,,148623,148865,4.525,0.138873015,4.80274603,4.24725397,
13,9.962794543,4.90801,165.59,0,50,0,0,0,0,0,0,4.46875,4.30316,,148990,149231,4.46875,0.218660696,4.906071392,4.031428608,
14,9.921455147,4.81543,165.59,0,50,0,0,0,0,0,0,4.48125,4.31566,,149355,149595,4.48125,0.136113136,4.753476271,4.209023729,
15,10.00413394,4.81174,165.59,0,50,0,0,0,0,0,0,4.3125,4.14691,,149719,149961,4.3125,0.20310096,4.71870192,3.90629808,
16,10.00413394,4.83812,165.59,0,50,0,0,0,0,0,0,4.371428571,4.205838571,,150084,150326,4.371428571,0.242997159,4.857422888,3.885434254,
17,9.921455147,4.8504,165.59,0,50,0,0,0,0,0,0,4.46875,4.30316,,150453,150693,4.46875,0.198093593,4.864937185,4.072562815,
18,9.921455147,4.96137,165.59,0,50,0,0,0,0,0,0,4.55625,4.39066,,150819,151059,4.55625,0.187916205,4.932082409,4.180417591,
19,10.04547334,4.81755,165.59,0,50,0,0,0,0,0,0,4.5125,4.34691,,151185,151428,4.5125,0.17268882,4.85787764,4.16712236,
20,10.25217032,4.8921,165.59,0,50,0,0,0,0,0,0,4.4625,4.29691,,151557,151805,4.4625,0.192260983,4.847021967,4.077978033,
21,9.962794543,4.76532,259.55,0,50,0,0,0,0,0,0,4.45,4.19045,,151932,152173,4.45,0.177281052,4.804562104,4.095437896,
22,10.08681273,4.81369,259.55,0,50,0,0,0,0,0,0,4.4625,4.20295,,152299,152543,4.4625,0.232609421,4.927718843,3.997281157,
23,9.921455147,5.0216,259.55,0,50,0,0,0,0,0,0,4.3125,4.05295,,152669,152909,4.3125,0.188509189,4.689518378,3.935481622,
24,10.12815213,4.79908,259.55,0,50,0,0,0,0,0,0,4.3875,4.12795,,153035,153280,4.3875,0.135620268,4.658740536,4.116259464,
25,10.08681273,4.79093,259.55,0,50,0,0,0,0,0,0,4.45,4.19045,,153408,153652,4.45,0.244948974,4.939897949,3.960102051,
26,10.58288549,4.94754,259.55,0,50,0,0,0,0,0,0,4.4625,4.20295,,153778,154034,4.4625,0.184681192,4.831862385,4.093137615,
27,10.4175279,4.76545,259.55,0,50,0,0,0,0,0,0,4.4375,4.17795,,154160,154412,4.4375,0.130247018,4.697994036,4.177005964,
28,10.25217032,4.79096,259.55,0,50,0,0,0,0,0,0,4.457142857,4.197592857,,154537,154785,4.35,0.350509833,5.051019666,3.648980334,
29,10.16949153,5.06814,259.55,0,50,0,0,0,0,0,0,4.428571429,4.169021429,,154914,155160,4.35,0.256347978,4.862695956,3.837304044,
30,10.33484911,4.75888,259.55,0,50,0,0,0,0,0,0,4.4625,3.7625,,155290,155540,4.4625,0.140788595,4.744077191,4.180922809,
31,10.29350971,4.84716,420.79,0,50,0,0,0,0,0,0,4.4875,3.7875,,155665,155914,4.4875,0.145773797,4.779047595,4.195952405,
32,10.29350971,4.83564,420.79,0,50,0,0,0,0,0,0,4.4625,3.7625,,156043,156292,4.4625,0.140788595,4.744077191,4.180922809,
