index,时间长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
101,9.673418768,5.43575,276.09,0,150,0,0,0,0,0,0,0,-0.27609,,431599,431833,0,0,0,0,
102,9.921455147,4.73741,276.09,0,150,0,0,0,0,0,0,0,-0.27609,,431957,432197,0,0,0,0,
103,10.08681273,4.65731,276.09,0,150,0,0,0,0,0,0,4.271428571,3.995338571,,432319,432563,4.175,0.310529502,4.796059003,3.553940997,
104,10.00413394,4.80225,276.09,0,150,0,0,0,0,0,0,4.171428571,3.895338571,,432684,432926,4.025,0.480327269,4.985654539,3.064345461,
105,9.962794543,4.9615,276.09,0,150,0,0,0,0,0,0,4.13875,3.86266,,433050,433291,4.13875,0.335535287,4.809820573,3.467679427,
106,9.962794543,4.66809,276.09,0,150,0,0,0,0,0,0,4.11875,3.84266,,433416,433657,4.11875,0.31840843,4.755566861,3.481933139,
107,10.00413394,4.77827,276.09,0,150,0,0,0,0,0,0,4.06375,3.78766,,433780,434022,4.06375,0.286253509,4.636257018,3.491242982,
108,10.12815213,4.75395,276.09,0,150,0,0,0,0,0,0,4.125,3.84891,,434146,434391,4.125,0.271240536,4.667481073,3.582518927,
109,9.921455147,4.68916,276.09,0,150,0,0,0,0,0,0,4.1275,3.85141,,434512,434752,4.1275,0.289420603,4.706341207,3.548658793,
110,10.00413394,4.78505,276.09,0,150,0,0,0,0,0,0,4.05,3.77391,,434876,435118,4.05,0.226778684,4.503557368,3.596442632,
111,10.08681273,4.7945,208.77,0,150,0,0,0,0,0,0,4.06125,3.85248,,435240,435484,4.06125,0.245556947,4.552363894,3.570136106,
112,10.08681273,4.86665,208.77,0,150,0,0,0,0,0,0,4,3.79123,,435606,435850,4,0.267261242,4.534522484,3.465477516,
113,10.08681273,4.80508,208.77,0,150,0,0,0,0,0,0,4.1,3.89123,,435972,436216,4.1,0.37032804,4.84065608,3.35934392,
114,10.00413394,4.7283,208.77,0,150,0,0,0,0,0,0,0,-0.20877,,436338,436580,0,0,0,0,
115,10.04547334,4.72192,208.77,0,150,0,0,0,0,0,0,4.0025,3.79373,,436702,436945,4.0025,0.401488303,4.805476605,3.199523395,
116,10.08681273,4.76784,208.77,0,150,0,0,0,0,0,0,4.15,3.94123,,437068,437312,4.15,0.169030851,4.488061702,3.811938298,
117,10.00413394,4.74125,208.77,0,150,0,0,0,0,0,0,4.19875,3.98998,,437434,437676,4.19875,0.252441648,4.703633296,3.693866704,
118,10.00413394,4.82262,208.77,0,150,0,0,0,0,0,0,4.09625,3.88748,,437800,438042,4.09625,0.224495466,4.545240932,3.647259068,
119,9.962794543,4.84754,208.77,0,150,0,0,0,0,0,0,3.88375,3.67498,,438165,438406,3.88375,0.262076188,4.407902377,3.359597623,
120,10.00413394,4.74812,208.77,0,150,0,0,0,0,0,0,4.0625,3.85373,,438530,438772,4.0625,0.213390989,4.489281978,3.635718022,
121,10.00413394,4.63263,231.01,0,150,0,0,0,0,0,0,4.1,3.86899,,438895,439137,4.1,0.27774603,4.65549206,3.54450794,
