index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终得分,,start ,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
237,10.00413394,5.07465,417.5,0.1,50,0,0,0,0,0,0,3.974285714,3.348035714,,243511,243753,3.865,0.369671669,4.604343338,3.125656662,
238,9.838776354,5.13634,320.35,0.1,50,0,0,0,0,0,0,3.7625,3.44215,,243878,244116,3.7625,0.159798981,4.082097962,3.442902038,
239,10.00413394,5.14854,320.35,0.1,50,0,0,0,0,0,0,3.788571429,3.468221429,,244239,244481,3.8775,0.279885181,4.437270361,3.317729639,
240,9.921455147,5.07656,320.35,0.1,50,0,0,0,0,0,0,0,0,,244610,244850,0,0,0,0,
241,9.921455147,5.08475,291.78,0.1,50,0,0,0,0,0,0,3.745714286,3.453934286,,244976,245216,3.815,0.240416306,4.295832611,3.334167389,
242,10.00413394,5.09078,291.78,0.1,50,0,0,0,0,0,0,3.88125,3.58947,,245338,245580,3.88125,0.226680234,4.334610468,3.427889532,
243,9.962794543,5.13198,291.78,0.1,50,0,0,0,0,0,0,3.79625,3.50447,,245705,245946,3.79625,0.305844849,4.407939697,3.184560303,
244,10.12815213,5.06438,291.78,0.1,50,0,0,0,0,0,0,3.8225,3.53072,,246068,246313,3.8225,0.245051015,4.31260203,3.33239797,
245,9.962794543,4.95298,291.78,0.1,50,0,0,0,0,0,0,3.87125,3.57947,,246436,246677,3.87125,0.294300017,4.459850034,3.282649966,
246,10.00413394,5.12971,291.78,0.1,50,0,0,0,0,0,0,3.7275,3.43572,,246799,247041,3.7275,0.348537762,4.424575524,3.030424476,
247,10.00413394,5.07076,291.78,0.1,50,0,0,0,0,0,0,3.86625,3.57447,,247164,247406,3.86625,0.188901902,4.244053804,3.488446196,
248,9.962794543,5.08776,291.78,0.1,50,0,0,0,0,0,0,3.735,3.44322,,247532,247773,3.735,0.328763919,4.392527838,3.077472162,
249,10.00413394,5.10943,291.78,0.1,50,1,0.08,0.08,8.35,0,,3.94375,3.65197,,247894,248136,3.94375,0.255563104,4.454876208,3.432623792,
250,9.962794543,5.09106,291.78,0.1,50,0,0,0,0,0,0,3.84,3.54822,,248260,248501,3.84,0.260109867,4.360219734,3.319780266,
251,10.00413394,5.10932,307.27,0.1,50,0,0,0,0,0,0,3.754285714,3.447015714,,248626,248868,3.835,0.263113229,4.361226459,3.308773541,
252,10.00413394,5.14577,307.27,0.1,50,0,0,0,0,0,0,3.81375,3.50648,,248998,249240,3.81375,0.19515104,4.204052081,3.423447919,
253,10.04547334,5.11119,307.27,0.1,50,1,0.08,0.08,1.61,0,,3.7775,3.47023,,249360,249603,3.7775,0.147527237,4.072554474,3.482445526,
254,9.921455147,5.12517,307.27,0.1,50,0,0,0,0,0,0,3.668571429,3.361301429,,249727,249967,3.7475,0.26788857,4.283277139,3.211722861,
255,3.059115337,5.08004,307.27,0.1,50,0,0,0,0,0,,0,0,,250089,250163,0,0,0,0,
256,9.921455147,5.01931,307.27,0.1,50,0,0,0,0,0,,3.815,3.50773,,250286,250526,3.815,0.204100815,4.223201631,3.406798369,
257,9.962794543,5.06825,307.27,0.1,50,0,0,0,0,0,,3.83,3.52273,,250653,250894,3.83,0.288444102,4.406888204,3.253111796,
258,10.16949153,5.04966,307.27,0.1,50,1,0.12,0.12,8.19,0,,3.9275,3.62023,,251016,251262,3.9275,0.306675725,4.540851449,3.314148551,
259,10.00413394,5.1695,307.27,0.1,50,0,0,0,0,0,0,3.768571429,3.461301429,,251382,251624,3.8475,0.262501701,4.372503401,3.322496599,
