index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
101,10.08681273,4.92983,70.71,0.1,0,0,0,0,0,0,0,0,0,,49055,49299,0,0,0,0,
102,10.00413394,4.93777,70.71,0.1,0,0,0,0,0,0,0,0,0,,49421,49663,0,0,0,0,
103,10.04547334,4.86054,70.71,0.1,0,0,0,0,0,0,0,4.542857143,4.472147143,,49785,50028,4.51,0.105288719,4.720577437,4.299422563,
104,9.962794543,4.81218,70.71,0.1,0,0,0,0,0,0,0,4.5475,4.47679,,50153,50394,4.5475,0.094377661,4.736255322,4.358744678,
105,10.00413394,4.91297,70.71,0.1,0,0,0,0,0,0,0,4.628571429,4.557861429,,50516,50758,4.59125,0.126653351,4.844556703,4.337943297,
106,10.00413394,4.88625,70.71,0.1,0,0,0,0,0,0,0,4.5225,4.45179,,50882,51124,4.5225,0.133282728,4.789065457,4.255934543,
107,10.00413394,4.81391,70.71,0.1,0,0,0,0,0,0,0,4.55375,4.48304,,51248,51490,4.55375,0.101268737,4.756287474,4.351212526,
108,10.04547334,4.94792,70.71,0.1,0,0,0,0,0,0,0,4.515,4.44429,,51612,51855,4.515,0.119880893,4.754761787,4.275238213,
109,10.04547334,4.90389,70.71,0.1,0,0,0,0,0,0,0,4.52875,4.45804,,51978,52221,4.52875,0.15869445,4.846138901,4.211361099,
110,10.08681273,4.76656,69.8,0.1,0,0,0,0,0,0,0,4.5725,4.5027,,52343,52587,4.5725,0.161400124,4.895300248,4.249699752,
111,10.00413394,4.91453,69.8,0.1,0,0,0,0,0,0,0,4.515,4.4452,,52709,52951,4.515,0.141724078,4.798448156,4.231551844,
112,10.08681273,4.8886,69.8,0.1,0,0,0,0,0,0,0,4.557142857,4.487342857,,53074,53318,4.5025,0.179025138,4.860550276,4.144449724,
113,10.00413394,4.80063,69.8,0.1,0,0,0,0,0,0,0,4.6,4.5302,,53440,53682,4.55,0.160356745,4.87071349,4.22928651,
114,10.00413394,4.92057,69.8,0.1,0,0,0,0,0,0,0,0,0,,53806,54048,0,0,0,0,
115,10.08681273,4.90488,69.8,0.1,0,0,0,0,0,0,0,4.61375,4.54395,,54170,54414,4.61375,0.081580372,4.776910745,4.450589255,
116,10.00413394,4.79985,69.8,0.1,0,0,0,0,0,0,0,4.59125,4.52145,,54536,54778,4.59125,0.095832816,4.782915631,4.399584369,
117,10.00413394,4.9307,69.8,0.1,0,0,0,0,0,0,0,4.52375,4.45395,,54901,55143,4.52375,0.089112689,4.701975379,4.345524621,
118,10.04547334,4.88591,69.8,0.1,0,0,0,0,0,0,0,4.625,4.5552,,55267,55510,4.625,0.088640526,4.802281052,4.447718948,
119,10.00413394,5.05439,69.8,0.1,0,0,0,0,0,0,0,4.52625,4.45645,,55632,55874,4.52625,0.164137355,4.854524711,4.197975289,
120,10.00413394,4.98953,69.8,0.1,0,0,0,0,0,0,0,4.54875,4.47895,,55999,56241,4.54875,0.094934188,4.738618375,4.358881625,
121,10.00413394,4.77568,71.06,0.1,0,0,0,0,0,0,0,4.5875,4.51644,,56363,56605,4.5875,0.112599163,4.812698325,4.362301675,
122,9.921455147,4.93936,71.06,0.1,0,0,0,0,0,0,0,4.5275,4.45644,,56730,56970,4.5275,0.123259309,4.774018617,4.280981383,
123,10.00413394,4.88047,71.06,0.1,0,0,0,0,0,0,0,4.5875,4.51644,,57095,57337,4.5875,0.112599163,4.812698325,4.362301675,
124,10.00413394,4.85062,71.06,0.1,0,0,0,0,0,0,0,4.595,4.52394,,57459,57701,4.595,0.12950455,4.854009101,4.335990899,
