index,时间长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
35,10.12815213,1.9596,522.14,0.1,100,0,0,0,0,0,0,2.61875,1.83554,,395928,396173,2.61875,0.548984452,3.716718904,1.520781096,
36,10.12815213,2.30642,522.14,0.1,100,0,0,0,0,0,0,2.3,1.51679,,396306,396551,2.4125,0.372011905,3.156523809,1.668476191,
37,10.16949153,2.12025,522.14,0.1,100,1,0.12,0.12,0.29,0,,2.4125,1.62929,,396679,396925,2.4125,0.258774585,2.93004917,1.89495083,
38,9.921455147,1.98373,522.14,0.1,100,0,0,0,0,0,0,2.625,1.84179,,397055,397295,2.625,0.452769257,3.530538514,1.719461486,
39,10.21083092,2.32405,522.14,0.1,100,1,0.29,0.29,6.04,0,,2.3625,1.57929,,397426,397673,2.3625,0.287538817,2.937577635,1.787422365,
40,13.64200083,2.06112,522.14,0.1,100,0,0,0,0,0,0,2.2375,1.45429,,397802,398132,2.2375,0.350255009,2.938010018,1.536989982,
41,10.04547334,2.02767,368.46,0.1,100,0,0,0,0,0,0,0,-0.36846,,398254,398497,0,0,0,0,
42,10.78958247,2.30282,368.46,0.1,100,3,0.5,"0.17,0.08,0.25","0.08,1.41,4.22","1.16,2.73",,2.2125,1.84404,,398547,398808,2.2125,0.279987245,2.772474489,1.652525511,
43,14.59280695,1.9996,368.46,0.1,100,2,10.9,"0.17,10.73","0.66,3.80",2.97,,0.525,0.15654,,398996,399349,0.525,0.332737563,1.190475126,-0.140475126,
44,8.433236875,2.269,368.46,0.1,100,0,0,0,0,0,0,0,-0.36846,,399350,399554,0,0,0,0,
45,10.37618851,2.26843,368.46,0.1,100,0,0,0,0,0,0,2.4125,2.04404,,399687,399938,2.4125,0.538350656,3.489201312,1.335798688,
46,10.4175279,1.85761,368.46,0.1,100,1,9.96,9.96,0.12,0,,0.285714286,0.285714286,,400158,400410,0.6,0.907114735,2.41422947,-1.21422947,
47,9.921455147,2.34631,368.46,0.1,100,4,0.37,"0.12,0.08,0.08,0.08","7.61,8.48,8.76,9.59","0.79,0.2,0.75",,2.275,1.90654,,400437,400677,2.275,0.260494036,2.795988072,1.754011928,
48,6.614303431,2.05013,368.46,0.1,100,2,0.21,"0.08,0.12","0.12,1.24",1.04,,2.225,1.85654,,400902,401062,2.225,0.166904592,2.558809184,1.891190816,
49,17.94129806,1.98304,368.46,0.1,100,5,11.04,"0.17,0.12,0.17,0.12,10.46","1.24,4.22,5.29,6.57,7.15","2.81,0.95,1.11,1.69",,1.0375,0.66904,,401224,401658,1.0375,0.759581652,2.556663304,-0.481663304,
50,6.200909467,2.27643,368.46,0.1,100,0,0,0,0,0,0,0,-0.36846,,401659,401809,0,0,0,0,
51,18.561389,2.07505,438.01,0.1,100,6,8.75,"0.08,0.08,0.08,0.21,0.08,8.22","4.51,5.66,7.36,8.02,8.97,10.13","1.07,1.62,0.58,0.74,1.08",,0.675,0.23699,,401947,402396,0.675,0.377018378,1.429036755,-0.079036755,
52,6.779661017,2.01635,438.01,0.1,100,0,0,0,0,0,0,0,-0.43801,,402397,402561,0,0,0,0,
53,12.07110376,2.22368,438.01,0.1,100,2,0.16,"0.08,0.08","10.17,11.29",1.04,,2.2875,1.84949,,402696,402988,2.2875,0.322656385,2.93281277,1.64218723,
54,10.04547334,2.10572,438.01,0.1,100,0,0,0,0,0,0,0,-0.43801,,403110,403353,0,0,0,0,
55,10.16949153,2.08762,438.01,0.1,100,4,0.37,"0.08,0.12,0.08,0.08","1.07,4.26,8.14,9.51","3.11,3.76,1.29",,2.2375,1.79949,,403445,403691,2.2375,0.350255009,2.938010018,1.536989982,
56,10.25217032,2.19369,438.01,0.1,100,0,0,0,0,0,0,2.35,1.91199,,403828,404076,2.35,0.481070235,3.312140471,1.387859529,
57,9.88011575,2.13177,438.01,0.1,100,0,0,0,0,0,0,2.471428571,2.033418571,,404219,404458,2.325,0.439967531,3.204935063,1.445064937,
58,9.342703597,2.04056,438.01,0.1,100,0,0,0,0,0,0,0,-0.43801,,404638,404864,0,0,0,0,
59,11.16163704,2.282,438.01,0.1,100,1,0.08,0.08,4.26,0,,2.375,1.93699,,404947,405217,2.375,0.328416112,3.031832225,1.718167775,
60,9.632079372,2.63731,438.01,0.1,100,0,0,0,0,0,0,0,-0.43801,,405402,405635,0,0,0,0,
61,11.12029764,2.59335,636.92,0.1,100,1,0.37,0.37,2.73,0,,2.5625,1.60712,,405703,405972,2.5625,0.255999442,3.074498884,2.050501116,
62,12.98057048,2.02956,636.92,0.1,100,4,8.01,"0.08,0.08,0.08,7.77","0.37,3.02,3.64,5.21","2.57,0.54,1.49",,0.357142857,0.357142857,,406153,406467,0.7,1.032334387,2.764668773,-1.364668773,
63,10.04547334,2.18338,636.92,0.1,100,1,0.12,0.12,2.56,0,,2.4,1.44462,,406469,406712,2.4,0.2081666,2.8163332,1.9836668,
64,14.51012815,2.59667,636.92,0.1,100,3,11,"0.29,0.08,10.63","0.08,2.03,3.80","1.66,1.69",,0.725,0.725,,406908,407259,0.725,0.736303509,2.197607018,-0.747607018,
65,7.978503514,2.20449,636.92,0.1,100,0,0,0,0,0,0,0,0,,407261,407454,0,0,0,0,
66,12.89789169,1.70098,636.92,0.1,100,3,0.29,"0.08,0.12,0.08","9.05,10.63,11.74","1.5,0.99",,2.1125,1.15712,,407588,407900,2.1125,0.327053949,2.766607898,1.458392102,
67,7.358412567,1.29633,636.92,0.1,100,0,0,0,0,0,0,0,-0.95538,,408022,408200,0,0,0,0,
