index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
201,10.00413394,2.04993,516.49,0.05,100,0,0,0,0,0,0,0,-0.774735,,345467,345709,0,0,0,0,
202,9.962794543,2.15407,516.49,0.05,100,0,0,0,0,0,0,0,-0.774735,,345831,346072,0,0,0,0,
203,9.921455147,1.98304,516.49,0.05,100,0,0,0,0,0,0,2.8975,2.122765,,346197,346437,2.8975,0.502045815,3.901591629,1.893408371,
204,10.00413394,2.21038,516.49,0.05,100,1,0.08,0.08,0.17,0,,2.871428571,2.096693571,,346560,346802,3.015,0.479374593,3.973749185,2.056250815,
205,9.962794543,2.06172,516.49,0.05,100,0,0,0,0,0,0,3.31875,2.544015,,346923,347164,3.31875,0.327258635,3.97326727,2.66423273,
206,0.124018189,1.98056,516.49,0.05,100,0,0,0,0,0,0,0,-0.774735,,347291,347294,0,0,0,0,
207,10.00413394,2.10543,516.49,0.05,100,0,0,0,0,0,0,3.12,2.345265,,347415,347657,3.12,0.350998575,3.821997151,2.418002849,
208,10.04547334,2.1599,516.49,0.05,100,1,0.08,0.08,0.54,0,,2.871428571,2.096693571,,347779,348022,3.00375,0.452735732,3.909221464,2.098278536,
209,10.04547334,2.1339,516.49,0.05,100,0,0,0,0,0,0,2.95625,2.181515,,348143,348386,2.95625,0.294518372,3.545286744,2.367213256,
210,10.12815213,2.15208,516.49,0.05,100,1,0.08,0.08,2.85,0,,2.9525,2.177765,,348510,348755,2.9525,0.366128393,3.684756786,2.220243214,
211,9.962794543,1.95048,365.19,0.05,100,0,0,0,0,0,0,2.74625,2.38106,,348877,349118,2.74625,0.314821378,3.375892756,2.116607244,
212,9.962794543,2.16932,365.19,0.05,100,0,0,0,0,0,0,2.8775,2.51231,,349243,349484,2.8775,0.405735663,3.688971327,2.066028673,
213,10.00413394,2.05406,365.19,0.05,100,0,0,0,0,0,0,2.757142857,2.391952857,,349607,349849,2.835,0.243955499,3.322910999,2.347089001,
214,10.08681273,2.10404,365.19,0.05,100,0,0,0,0,0,0,2.895,2.52981,,349972,350216,2.895,0.307013262,3.509026523,2.280973477,
