index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
101,9.962794543,5.01357,186.25,0.05,50,0,0,0,0,0,0,0,0,,192957,193198,0,0,0,0,
102,10.08681273,5.0137,186.25,0.05,50,0,0,0,0,0,0,0,0,,193320,193564,0,0,0,0,
103,10.00413394,5.02082,186.25,0.05,50,0,0,0,0,0,0,4.335,4.0090625,,193688,193930,4.335,0.164142795,4.66328559,4.00671441,
104,10.00413394,5.06012,186.25,0.05,50,0,0,0,0,0,0,4.39,4.0640625,,194052,194294,4.39,0.120475249,4.630950499,4.149049501,
105,10.00413394,4.95388,186.25,0.05,50,0,0,0,0,0,0,4.355,4.0290625,,194419,194661,4.355,0.164490556,4.683981111,4.026018889,
106,10.00413394,5.06958,186.25,0.05,50,0,0,0,0,0,0,4.29625,3.9703125,,194783,195025,4.29625,0.163352161,4.622954322,3.969545678,
107,10.00413394,5.04145,186.25,0.05,50,0,0,0,0,0,0,4.31375,3.9878125,,195149,195391,4.31375,0.187688001,4.689126002,3.938373998,
108,10.04547334,4.9313,186.25,0.05,50,0,0,0,0,0,0,4.30875,3.9828125,,195514,195757,4.30875,0.175778879,4.660307758,3.957192242,
109,10.04547334,5.125,186.25,0.05,50,0,0,0,0,0,0,4.29625,3.9703125,,195879,196122,4.29625,0.252639636,4.801529272,3.790970728,
110,9.921455147,5.00754,186.25,0.05,50,0,0,0,0,0,0,4.275,3.9490625,,196246,196486,4.275,0.198206242,4.671412484,3.878587516,
111,10.00413394,4.93737,185.19,0.05,50,0,0,0,0,0,0,4.3975,4.0734175,,196609,196851,4.3975,0.215257321,4.828014642,3.966985358,
112,10.04547334,5.06527,185.19,0.05,50,0,0,0,0,0,0,4.2975,3.9734175,,196975,197218,4.2975,0.216580569,4.730661138,3.864338862,
113,10.00413394,5.05122,185.19,0.05,50,0,0,0,0,0,0,4.30375,3.9796675,,197342,197584,4.30375,0.135640017,4.575030035,4.032469965,
114,10.08681273,5.08132,185.19,0.05,50,0,0,0,0,0,0,0,0,,197706,197950,0,0,0,0,
115,10.00413394,5.09217,185.19,0.05,50,0,0,0,0,0,0,4.3475,4.0234175,,198072,198314,4.3475,0.170021007,4.687542014,4.007457986,
116,10.00413394,5.04571,185.19,0.05,50,0,0,0,0,0,0,4.3875,4.0634175,,198437,198679,4.3875,0.188509189,4.764518378,4.010481622,
117,9.962794543,4.94727,185.19,0.05,50,0,0,0,0,0,0,4.2225,3.8984175,,198803,199044,4.2225,0.296732202,4.815964405,3.629035595,
118,10.00413394,5.09565,185.19,0.05,50,0,0,0,0,0,0,4.42125,4.0971675,,199167,199409,4.42125,0.132712094,4.686674189,4.155825811,
119,10.04547334,5.01329,185.19,0.05,50,0,0,0,0,0,0,4.30375,3.9796675,,199534,199777,4.30375,0.247498196,4.798746392,3.808753608,
120,10.00413394,5.05878,185.19,0.05,50,0,0,0,0,0,0,4.23,3.9059175,,199899,200141,4.27625,0.157474488,4.591198975,3.961301025,
121,10.00413394,5.11156,203.42,0.05,50,0,0,0,0,0,0,4.26625,3.910265,,200265,200507,4.26625,0.237783665,4.74181733,3.79068267,
122,10.00413394,5.40278,203.42,0.05,50,0,0,0,0,0,0,4.26,3.904015,,200630,200872,4.26,0.184235874,4.628471747,3.891528253,
123,10.00413394,5.14162,203.42,0.05,50,0,0,0,0,0,0,4.25875,3.902765,,200996,201238,4.25875,0.176184765,4.61111953,3.90638047,
124,10.08681273,5.02671,203.42,0.05,50,0,0,0,0,0,0,4.09875,3.742765,,201360,201604,4.09875,0.392444264,4.883638527,3.313861473,
125,10.00413394,5.06635,203.42,0.05,50,0,0,0,0,0,0,4.33375,3.977765,,201726,201968,4.33375,0.124089541,4.581929083,4.085570917,
126,10.00413394,4.99694,203.42,0.05,50,0,0,0,0,0,0,4.34125,3.985265,,202090,202332,4.34125,0.126088121,4.593426242,4.089073758,
127,10.04547334,5.00871,203.42,0.05,50,0,0,0,0,0,0,4.34,3.984015,,202455,202698,4.34,0.206189926,4.752379853,3.927620147,
128,9.962794543,5.02728,203.42,0.05,50,0,0,0,0,0,0,4.32125,3.965265,,202823,203064,4.32125,0.214904464,4.751058928,3.891441072,
129,10.00413394,5.06828,203.42,0.05,50,0,0,0,0,0,0,4.3725,4.016515,,203187,203429,4.3725,0.14058551,4.653671021,4.091328979,
130,10.00413394,4.97465,203.42,0.05,50,0,0,0,0,0,0,4.23375,3.877765,,203551,203793,4.23375,0.220967839,4.675685677,3.791814323,
131,10.00413394,5.13266,172.66,0.05,50,0,0,0,0,0,0,4.35,4.047845,,203917,204159,4.35,0.119522861,4.589045722,4.110954278,
132,10.00413394,4.92462,172.66,0.05,50,0,0,0,0,0,0,4.30875,4.006595,,204285,204527,4.30875,0.191343931,4.691437862,3.926062138,
133,10.00413394,5.03405,172.66,0.05,50,0,0,0,0,0,0,4.26625,3.964095,,204649,204891,4.26625,0.259060804,4.784371607,3.748128393,
134,10.08681273,5.04834,172.66,0.05,50,0,0,0,0,0,0,4.36375,4.061595,,205013,205257,4.36375,0.243071859,4.849893718,3.877606282,
135,10.00413394,4.93922,172.66,0.05,50,0,0,0,0,0,0,4.36875,4.066595,,205379,205621,4.36875,0.190745717,4.750241434,3.987258566,
136,10.00413394,5.28563,172.66,0.05,50,0,0,0,0,0,0,4.37875,4.076595,,205746,205988,4.37875,0.20883606,4.79642212,3.96107788,
137,10.00413394,5.02146,172.66,0.05,50,0,0,0,0,0,0,4.39,4.087845,,206111,206353,4.39,0.159284113,4.708568225,4.071431775,
138,10.00413394,4.94786,172.66,0.05,50,0,0,0,0,0,0,4.33125,4.029095,,206475,206717,4.33125,0.201667159,4.734584317,3.927915683,
139,10.04547334,5.09622,172.66,0.05,50,0,0,0,0,0,0,4.3625,4.060345,,206840,207083,4.3625,0.176776695,4.716053391,4.008946609,
140,10.12815213,4.87725,172.66,0.05,50,0,0,0,0,0,0,4.45125,4.149095,,207206,207451,4.45125,0.128222741,4.707695483,4.194804517,
141,9.962794543,5.11893,181.16,0.05,50,0,0,0,0,0,0,4.35625,4.03922,,207573,207814,4.35625,0.238203844,4.832657689,3.879842311,
142,9.962794543,5.23352,181.16,0.05,50,0,0,0,0,0,0,4.36625,4.04922,,207940,208181,4.36625,0.201348135,4.76894627,3.96355373,
143,10.00413394,5.13345,181.16,0.05,50,0,0,0,0,0,0,4.32375,4.00672,,208304,208546,4.32375,0.213671143,4.751092285,3.896407715,
144,10.00413394,4.91445,181.16,0.05,50,0,0,0,0,0,0,4.38375,4.06672,,208669,208911,4.38375,0.200281053,4.784312105,3.983187895,
