index,视频时间,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS值,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
37,10.25217032,4.69257,63.23,0.05,0,0,0,0,0,0,0,4.642857143,4.579627143,,13943,14191,4.5875,0.188509189,4.964518378,4.210481622,
38,10.12815213,5.06744,63.23,0.05,0,0,0,0,0,0,0,4.528571429,4.465341429,,14318,14563,4.4625,0.219983766,4.902467531,4.022532469,
39,10.25217032,4.71896,63.23,0.05,0,0,0,0,0,0,0,4.6125,4.54927,,14690,14938,4.6125,0.099103121,4.810706242,4.414293758,
40,10.25217032,4.75525,63.23,0.05,0,0,0,0,0,0,0,4.642857143,4.579627143,,15065,15313,4.6,0.141421356,4.882842712,4.317157288,
41,10.25217032,4.94099,64.94,0.05,0,0,0,0,0,0,0,4.45,4.38506,,15440,15688,4.45,0.307059789,5.064119579,3.835880421,
42,10.54154609,4.66598,64.94,0.05,0,0,0,0,0,0,0,4.525,4.46006,,15815,16070,4.525,0.175254916,4.875509833,4.174490167,
43,10.33484911,4.9731,64.94,0.05,0,0,0,0,0,0,0,4.5625,4.49756,,16197,16447,4.5625,0.213390989,4.989281978,4.135718022,
44,10.25217032,4.96883,64.94,0.05,0,0,0,0,0,0,0,4.575,4.51006,,16574,16822,4.575,0.138873015,4.85274603,4.29725397,
45,10.25217032,4.55453,64.94,0.05,0,0,0,0,0,0,0,4.6125,4.54756,,16949,17197,4.6125,0.164208056,4.940916112,4.284083888,
46,10.25217032,4.99571,64.94,0.05,0,0,0,0,0,0,0,4.55,4.48506,,17324,17572,4.55,0.106904497,4.763808994,4.336191006,
47,10.25217032,4.88105,64.94,0.05,0,0,0,0,0,0,0,4.5625,4.49756,,17699,17947,4.5625,0.150594062,4.863688123,4.261311877,
48,10.25217032,4.60912,64.94,0.05,0,0,0,0,0,0,0,4.5625,4.49756,,18074,18322,4.5625,0.150594062,4.863688123,4.261311877,
49,10.25217032,4.95178,64.94,0.05,0,0,0,0,0,0,0,4.5875,4.52256,,18449,18697,4.5875,0.124642345,4.836784691,4.338215309,
50,10.33484911,4.80835,64.94,0.05,0,0,0,0,0,0,0,4.5875,4.52256,,18824,19074,4.5875,0.180772153,4.949044307,4.225955693,
51,10.25217032,4.68367,69.18,0.05,0,0,0,0,0,0,0,4.5625,4.49332,,19201,19449,4.5625,0.140788595,4.844077191,4.280922809,
52,10.33484911,4.92288,69.18,0.05,0,0,0,0,0,0,0,4.5875,4.51832,,19576,19826,4.5875,0.155264751,4.898029502,4.276970498,
53,10.25217032,4.79156,69.18,0.05,0,0,0,0,0,0,0,4.60625,4.53707,,19955,20203,4.60625,0.147448538,4.901147076,4.311352924,
54,10.25217032,4.7724,69.18,0.05,0,0,0,0,0,0,0,4.575,4.50582,,20330,20578,4.575,0.070710678,4.716421356,4.433578644,
55,10.25217032,4.87229,69.18,0.05,0,0,0,0,0,0,0,4.595,4.52582,,20708,20956,4.595,0.191758777,4.978517554,4.211482446,
56,10.25217032,4.77259,69.18,0.05,0,0,0,0,0,0,0,4.5875,4.51832,,21083,21331,4.5875,0.17268882,4.93287764,4.24212236,
57,10.25217032,4.84799,69.18,0.05,0,0,0,0,0,0,0,4.6025,4.53332,,21458,21706,4.6025,0.117321293,4.837142585,4.367857415,
58,10.16949153,4.85451,69.18,0.05,0,0,0,0,0,0,0,4.575,4.50582,,21836,22082,4.575,0.116496475,4.807992949,4.342007051,
59,10.25217032,4.75308,69.18,0.05,0,0,0,0,0,0,0,4.525,4.45582,,22209,22457,4.525,0.148804762,4.822609524,4.227390476,
60,10.25217032,4.90386,69.18,0.05,0,0,0,0,0,0,0,4.6075,4.53832,,22586,22834,4.6075,0.136878465,4.881256931,4.333743069,
61,10.37618851,4.77153,65.9,0.05,0,0,0,0,0,0,0,4.625,4.5591,,22961,23212,4.625,0.116496475,4.857992949,4.392007051,
62,10.54154609,4.77285,65.9,0.05,0,0,0,0,0,0,0,4.555,4.4891,,23339,23594,4.555,0.120356613,4.795713226,4.314286774,
63,10.25217032,4.80229,65.9,0.05,0,0,0,0,0,0,0,4.61625,4.55035,,23724,23972,4.61625,0.135640017,4.887530035,4.344969965,
64,10.16949153,4.9032,65.9,0.05,0,0,0,0,0,0,0,4.6,4.5341,,24099,24345,4.6,0.130930734,4.861861468,4.338138532,
65,10.25217032,4.76585,65.9,0.05,0,0,0,0,0,0,0,4.545,4.4791,,24472,24720,4.545,0.11045361,4.76590722,4.32409278,
66,10.25217032,4.92047,65.9,0.05,0,0,0,0,0,0,0,4.625,4.5591,,24847,25095,4.625,0.158113883,4.941227766,4.308772234,
67,10.25217032,4.8135,65.9,0.05,0,0,0,0,0,0,0,4.55,4.4841,,25222,25470,4.55,0.160356745,4.87071349,4.22928651,
68,10.04547334,4.72724,65.9,0.05,0,0,0,0,0,0,0,4.55,4.4841,,25579,25822,4.55,0.160356745,4.87071349,4.22928651,
69,9.88011575,4.93468,65.9,0.05,0,0,0,0,0,0,0,4.525,4.4591,,25943,26182,4.525,0.183225076,4.891450153,4.158549847,
70,3.679206284,4.75358,65.9,0.05,0,0,0,0,0,0,0,0,0,,26303,26392,0,0,0,0,
71,10.00413394,4.83035,63.62,0.05,0,0,0,0,0,0,0,4.625,4.56138,,26513,26755,4.625,0.175254916,4.975509833,4.274490167,
72,10.00413394,4.80866,63.62,0.05,0,0,0,0,0,0,0,4.53375,4.47013,,26881,27123,4.53375,0.138247966,4.810245931,4.257254069,
73,10.00413394,4.77984,63.62,0.05,0,0,0,0,0,0,0,4.657142857,4.593522857,,27244,27486,4.6125,0.155264751,4.923029502,4.301970498,
