index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终MOS得分,,start,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
36,10.21083092,2.6211,410.13,0.2,50,0,0,0,0,0,0,3.45,2.834805,,281676,281923,3.45,0.261861468,3.973722937,2.926277063,
37,10.21083092,2.17464,410.13,0.2,50,2,0.16,0.08，0.08,6.12，8.35,2.15,,3.1875,2.572305,,282054,282301,3.1875,0.229518129,3.646536258,2.728463742,
38,9.962794543,1.93652,410.13,0.2,50,0,0,0,0,0,0,3.5,2.884805,,282431,282672,3.5,0.302371578,4.104743157,2.895256843,
39,10.25217032,2.28247,410.13,0.2,50,0,0,0,0,0,0,3.2625,2.647305,,282799,283047,3.2625,0.091612538,3.445725076,3.079274924,
40,10.12815213,2.12528,410.13,0.2,50,0,0,0,0,0,0,3.228571429,2.613376429,,283177,283422,3.325,0.324037035,3.97307407,2.67692593,
41,10.25217032,2.09206,402.58,0.2,50,0,0,0,0,0,0,3.357142857,2.753272857,,283548,283796,3.5,0.450396651,4.400793301,2.599206699,
42,10.58288549,2.23147,402.58,0.2,50,1,0.12,0.12,4.18,0,,3.142857143,2.538987143,,283925,284181,3.2125,0.24164614,3.695792281,2.729207719,
43,10.25217032,1.92955,402.58,0.2,50,0,0,0,0,0,0,3.45,2.84613,,284307,284555,3.45,0.302371578,4.054743157,2.845256843,
44,10.25217032,2.34243,402.58,0.2,50,0,0,0,0,0,0,3.4875,2.88363,,284682,284930,3.4875,0.155264751,3.798029502,3.176970498,
45,10.25217032,2.16568,402.58,0.2,50,0,0,0,0,0,0,3.4,2.79613,,285056,285304,3.475,0.260494036,3.995988072,2.954011928,
46,10.16949153,1.89323,402.58,0.2,50,0,0,0,0,0,0,3.1875,2.58363,,285433,285679,3.1875,0.195940953,3.579381906,2.795618094,
47,10.12815213,2.28972,402.58,0.2,50,0,0,0,0,0,0,3.375,2.77113,,285810,286055,3.375,0.116496475,3.607992949,3.142007051,
48,10.21083092,2.10107,402.58,0.2,50,0,0,0,0,0,0,3.228571429,2.624701429,,286183,286430,3.3,0.239045722,3.778091444,2.821908556,
49,10.29350971,2.00399,402.58,0.2,50,0,0,0,0,0,0,3.2875,2.68363,,286558,286807,3.2875,0.216712449,3.720924899,2.854075101,
50,10.33484911,2.32208,402.58,0.2,50,1,0.33,0.33,5.83,0,,3.1875,2.58363,,286934,287184,3.1875,0.195940953,3.579381906,2.795618094,
51,10.12815213,2.08956,394.69,0.2,50,0,0,0,0,0,0,3.275,2.682965,,287312,287557,3.275,0.148804762,3.572609524,2.977390476,
52,10.33484911,2.02563,394.69,0.2,50,1,0.42,0.42,2.85,0,,3.1625,2.570465,,287690,287940,3.1625,0.385217935,3.932935869,2.392064131,
53,10.29350971,2.19985,394.69,0.2,50,0,0,0,0,0,0,3.328571429,2.736536429,,288067,288316,3.4375,0.350255009,4.138010018,2.736989982,
54,10.37618851,2.1861,394.69,0.2,50,0,0,0,0,0,0,3.325,2.732965,,288444,288695,3.325,0.198206242,3.721412484,2.928587516,
55,10.29350971,2.18181,394.69,0.2,50,1,0.08,0.08,1.78,0,,3.171428571,2.579393571,,288819,289068,3.2625,0.306768875,3.876037751,2.648962249,
56,10.16949153,2.25058,394.69,0.2,50,0,0,0,0,0,0,3.4375,2.845465,,289199,289445,3.4375,0.238671921,3.914843841,2.960156159,
57,10.21083092,2.07287,394.69,0.2,50,1,0.21,0.21,5.99,0,,3.3375,2.745465,,289573,289820,3.3375,0.232609421,3.802718843,2.872281157,
58,10.12815213,2.14145,394.69,0.2,50,0,0,0,0,0,0,3.3575,2.765465,,289950,290195,3.3575,0.110291821,3.578083641,3.136916359,
59,10.33484911,2.1808,394.69,0.2,50,1,0.12,0.12,7.48,0,,3.5375,2.945465,,290322,290572,3.5375,0.150594062,3.838688123,3.236311877,
60,10.21083092,2.04614,394.69,0.2,50,0,0,0,0,0,0,3.5,2.907965,,290700,290947,3.5625,0.213390989,3.989281978,3.135718022,
61,10.4588673,2.20802,436.78,0.2,50,2,0.25,0.08，0.17,5.79，6.49,0.62,,3.4875,2.83233,,291076,291329,3.4875,0.180772153,3.849044307,3.125955693,
62,10.5002067,2.10984,436.78,0.2,50,0,0,0,0,0,0,3.457142857,2.801972857,,291456,291710,3.2875,0.494072002,4.275644003,2.299355997,
63,10.21083092,2.13072,436.78,0.2,50,0,0,0,0,0,0,3.375,2.71983,,291837,292084,3.375,0.138873015,3.65274603,3.09725397,
64,10.08681273,2.19667,436.78,0.2,50,1,0.08,0.08,5.58,0,,3.4375,2.78233,,292213,292457,3.4375,0.176776695,3.791053391,3.083946609,
65,10.16949153,2.18509,436.78,0.2,50,1,0.08,0.08,7.98,0,,3.4125,2.75733,,292586,292832,3.4125,0.24164614,3.895792281,2.929207719,
66,10.21083092,2.03897,436.78,0.2,50,1,0.21,0.21,6.99,0,,3.2875,2.63233,,292960,293207,3.2875,0.210017006,3.707534012,2.867465988,
67,9.88011575,2.25086,436.78,0.2,50,0,0,0,0,0,0,3.45,2.79483,,293331,293570,3.38125,0.226680234,3.834610468,2.927889532,
68,10.00413394,2.16138,436.78,0.2,50,1,0.08,0.08,7.48,0,,3.22375,2.56858,,293691,293933,3.22375,0.1754942,3.5747384,2.8727616,
69,9.921455147,2.0102,436.78,0.2,50,1,0.08,0.08,4.67,0,,3.365,2.70983,,294057,294297,3.365,0.195886264,3.756772529,2.973227471,
70,3.513848698,2.2638,436.78,0.2,50,0,0,0,0,0,0,0,-0.65517,,294421,294506,0,0,0,0,
71,10.08681273,2.12054,399.27,0.2,50,1,0.21,0.21,2.23,0,,3.425,2.826095,,294628,294872,3.425,0.291547595,4.008095189,2.841904811,
72,10.00413394,2.11506,399.27,0.2,50,0,0,0,0,0,0,3.4375,2.838595,,294994,295236,3.4375,0.206587927,3.850675853,3.024324147,
73,10.00413394,2.17885,399.27,0.2,50,0,0,0,0,0,0,3.371428571,2.772523571,,295360,295602,3.45,0.267261242,3.984522484,2.915477516,
74,10.00413394,2.0802,399.27,0.2,50,0,0,0,0,0,0,3.4125,2.813595,,295725,295967,3.4125,0.188509189,3.789518378,3.035481622,
75,10.66556428,2.12819,399.27,0.2,50,1,0.08,0.08,2.56,0,,3.305714286,2.706809286,,296090,296348,3.2675,0.132638068,3.532776136,3.002223864,
76,11.45101282,2.16945,594.41,0.2,50,0,0,0,0,0,0,3.25,2.358385,,296487,296764,3.25,0.261861468,3.773722937,2.726277063,
77,15.04754031,2.1707,594.41,0.2,50,1,10.29,10.29,4.51,0,,1.525,0.633385,,296906,297270,1.525,1.428035614,4.381071228,-1.331071228,
78,6.531624638,2.19002,594.41,0.2,50,0,0,0,0,0,0,0,-0.891615,,297271,297429,0,0,0,0,
79,10.00413394,2.0759,594.41,0.2,50,0,0,0,0,0,0,3.442857143,2.551242143,,297559,297801,3.575,0.391881906,4.358763813,2.791236187,
80,10.70690368,2.07967,594.41,0.2,50,0,0,0,0,0,0,3.528571429,2.636956429,,297923,298182,3.6125,0.258774585,4.13004917,3.09495083,
81,11.24431583,2.22046,2428.63,0.2,50,0,0,0,0,0,0,3.3925,1.7825,,298324,298596,3.3925,0.161753781,3.716007562,3.068992438,
82,11.32699463,2.14132,2428.63,0.2,50,2,4.59,0.08，4.51,0.56，1.36,0.72,,1.6375,1.6375,,298738,299012,1.6375,1.312508503,4.262517007,-0.987517007,
83,11.45101282,2.10425,2428.63,0.2,50,0,0,0,0,0,0,3.6125,1.8121,,299150,299427,3.6125,0.124642345,3.861784691,3.363215309,
84,2.43902439,2.05322,2428.63,0.2,50,0,0,0,0,0,0,0,0,,299567,299626,0,0,0,0,
85,10.00413394,2.23775,1098.24,0.2,50,4,0.57,0.08，0.29，0.08，0.12,4.30，4.67，5.13，5.33,0.29，0.17，0.12,,3.242857143,2.144617143,,299750,299992,3.3625,0.385217935,4.132935869,2.592064131,
86,10.58288549,1.98438,1098.24,0.2,50,0,0,0,0,0,0,3.542857143,2.444617143,,300127,300383,3.4375,0.354310195,4.14612039,2.72887961,
87,11.16163704,2.17968,1098.24,0.2,50,0,0,0,0,0,0,3.6125,2.51426,,300531,300801,3.6125,0.372011905,4.356523809,2.868476191,
88,10.58288549,2.25529,1098.24,0.2,50,0,0,0,0,0,0,0,-1.09824,,300874,301130,0,0,0,0,
89,10.74824308,2.08757,1098.24,0.2,50,3,0.41,0.08，0.21，0.12,1.86，3.76，5.58,1.82，1.61,,3.35,2.25176,,301208,301468,3.35,0.213808994,3.777617987,2.922382013,
90,11.03761885,2.09329,1098.24,0.2,50,0,0,0,0,0,0,3.5625,2.46426,,301600,301867,3.5625,0.232609421,4.027718843,3.097281157,
91,11.32699463,2.1897,3173.86,0.2,50,0,0,0,0,0,0,3.48125,1.58125,,302007,302281,3.48125,0.155695444,3.792640889,3.169859111,
92,2.025630426,2.05474,3173.86,0.2,50,0,0,0,0,0,0,0,0,,302406,302455,0,0,0,0,
93,11.74038859,2.10767,3173.86,0.2,50,2,7.94,7.73，0.21,0.08，10.96,3.15,,1.314285714,1.314286,,302456,302740,1.314285714,1.31076132,3.935808354,-1.307236926,
94,10.37618851,2.25958,3173.86,0.2,50,0,0,0,0,0,0,3.242857143,1.3428,,302859,303110,3.3125,0.216712449,3.745924899,2.879075101,
95,11.45101282,2.04316,3173.86,0.2,50,0,0,0,0,0,0,3.425,1.52,,303244,303521,3.425,0.218762755,3.862525509,2.987474491,
96,16.94915254,2.21281,2861.94,0.2,50,1,10.86,10.86,5.99,0,,1.5625,1.5625,,303676,304086,1.5625,1.347948176,4.258396352,-1.133396352,
97,4.340636627,2.17106,2861.94,0.2,50,0,0,0,0,0,0,0,0,,304087,304192,0,0,0,0,
98,10.25217032,2.09944,2861.94,0.2,50,0,0,0,0,0,0,3.4375,1.5675,,304321,304569,3.4375,0.140788595,3.719077191,3.155922809,
99,10.70690368,2.21037,2861.94,0.2,50,0,0,0,0,0,0,3.567142857,1.697142857,,304707,304966,3.49625,0.225130914,3.946511829,3.045988171,
100,11.40967342,2.11044,2861.94,0.2,50,0,0,0,0,0,0,3.3125,1.4425,,305104,305380,3.3125,0.20310096,3.71870192,2.90629808,
